"","objid","ra","dec","u","g","r","i","z","run","rerun","camcol","field","specobjid","class","redshift","plate","mjd","fiberid"
"9003",1237648720693625344,179.408118891726,-0.481075289874304,24.47886,22.08426,21.83369,21.51542,21.51048,756,301,2,425,4326873012965974016,"QSO",1.679483,3843,55278,144
"9004",1237648720693625088,179.387650191971,-0.44684932442049,23.03135,21.95246,21.7438,21.38691,20.91863,756,301,2,425,4326884557838065664,"QSO",1.353158,3843,55278,186
"9005",1237648720693561088,179.316204768613,-0.512216244007366,23.57302,21.45931,21.23093,21.34168,22.07447,756,301,2,424,4326883458326437888,"QSO",3.08426,3843,55278,182
"9006",1237648720693560064,179.236317549118,-0.573341378480268,22.14805,21.46574,21.16235,21.10313,20.75244,756,301,2,424,4326903249535737856,"QSO",1.050516,3843,55278,254
"9007",1237648720693497088,179.229913239399,-0.592844490123704,25.5198,22.09269,21.91148,22.06261,21.69228,756,301,2,423,4326904349047365632,"QSO",2.905724,3843,55278,258
"9008",1237648720693496576,179.223806473151,-0.619890332856073,22.11405,21.62189,21.55447,21.50065,22.02427,756,301,2,423,4326903799291551744,"QSO",0.8220852,3843,55278,256
"9009",1237648720693428480,179.026185545898,-0.493739388265464,20.80465,20.27706,20.19591,20.15711,19.85394,756,301,2,422,4326905448558993408,"QSO",2.246733,3843,55278,262
"9010",1237648720693362944,178.80271349986,-0.507665643538632,21.33995,20.93642,20.8943,20.76987,20.34469,756,301,2,421,4326926889035735040,"QSO",2.183311,3843,55278,340
"9011",1237648720693362944,178.88925537798,-0.514156005883359,20.87614,20.49343,20.24584,20.24091,19.92318,756,301,2,421,4326915893919457280,"QSO",0.8831266,3843,55278,300
"9012",1237648721217847296,150.565979650562,-0.182255718896429,19.25479,18.9971,18.79082,18.79543,18.17451,756,301,3,232,302954793037490176,"QSO",0.3531286,269,51910,319
"9013",1237648720693297664,178.783453046899,-0.616448450313393,21.7804,20.96387,20.33178,19.8132,19.63938,756,301,2,420,319785018077505536,"QSO",1.739728,284,51943,107
"9014",1237648721217978880,150.915395549656,-0.148641203528528,21.22265,20.54602,20.58614,20.36981,20.31506,756,301,3,234,4311156594127642624,"QSO",2.355719,3829,55300,312
"9015",1237648720693166592,178.364224161024,-0.576718908448986,22.96223,22.0685,21.83465,21.49759,21.17751,756,301,2,418,4326948329512476672,"QSO",1.053791,3843,55278,418
"9016",1237648720693101056,178.263073646242,-0.544924659769961,23.86199,22.09069,21.88486,21.73809,21.8138,756,301,2,417,4326948879268290560,"QSO",0.9886338,3843,55278,420
"9017",1237648720693035520,178.154177820884,-0.549822433428306,21.37246,20.9226,20.83316,20.78854,20.78325,756,301,2,416,4325734473490472960,"QSO",1.548925,3842,55565,98
"9018",1237648720692904704,177.845442516591,-0.564376554955356,24.26383,22.00588,21.61069,21.33621,21.36006,756,301,2,414,4267399328333537280,"QSO",1.242029,3790,55208,868
"9019",1237648720692904192,177.770250807447,-0.450905664669831,21.73319,20.73888,20.65291,20.68692,20.62106,756,301,2,414,4267398778577723392,"QSO",2.84516,3790,55208,866
"9020",1237648720692838912,177.615785484072,-0.558205891450776,21.54912,20.43262,20.4352,20.41139,20.15974,756,301,2,413,4267387783461445632,"QSO",2.820662,3790,55208,826
"9021",1237648720692773376,177.56356033725,-0.601204597234359,21.47649,20.76786,20.6676,20.51691,20.13391,756,301,2,412,4325761961281167360,"QSO",2.231218,3842,55565,198
"9022",1237648720691724544,175.068454992927,-0.455716397500221,21.07542,20.56131,20.61879,20.54177,20.25444,756,301,2,396,4324683897696657408,"QSO",2.236217,3841,56016,372
"9023",1237648720691528192,174.608847971002,-0.539160700226889,23.06617,20.92499,20.70636,20.43406,20.42553,756,301,2,393,4324703139150143488,"QSO",3.021837,3841,56016,442
"9024",1237648720691331584,174.214313985128,-0.485842449660358,23.58012,22.09632,21.72346,21.72227,21.02827,756,301,2,390,4250432764388548608,"QSO",2.634847,3775,55207,584
"9025",1237648721218568448,152.20891627122,-0.202431606405117,19.84863,18.4853,17.5932,17.06397,16.81106,756,301,3,243,304066124398487552,"QSO",0.1105128,270,51909,266
"9026",1237648720691331328,174.15888368114,-0.517587792987463,21.30763,20.63137,20.50933,20.24071,19.8231,756,301,2,390,4324714409144328192,"QSO",2.230146,3841,56016,483
"9027",1237648720691331328,174.214785478451,-0.476671462058936,19.63552,19.33575,19.25865,18.89679,19.17068,756,301,2,390,317545857866033152,"QSO",1.617681,282,51658,153
